evidence_scope,phase,metric,M1b_R1,M1_R1
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,robust_margin_mean,0.9705771463713012,1.0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,wheel_margin_minimum,0.0,1.0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,wheel_margin_p05,1.0,1.0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,wheel_margin_mean,0.9718111908630397,1.0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,wheel_margin_below_1p0_duration_seconds,0.5197157859802246,0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,wheel_margin_below_1p0_fraction,0.03464634674873197,0.0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,wheel_margin_below_0p7_duration_seconds,0.4698617458343506,0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,wheel_margin_below_0p7_fraction,0.03132287571261285,0.0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,wheel_margin_below_0p5_duration_seconds,0.4302804470062256,0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,wheel_margin_below_0p5_fraction,0.02868422697236355,0.0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,risk_contraction_minimum,0.0,9.22942694603357e-07
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,risk_contraction_peak,0.0,0.01853493936577018
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,risk_contraction_mean,0.0,0.0018928187132272833
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,risk_contraction_integral,0.0,0.028392598401745517
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,common_velocity_reference_minimum,0.09986354897110679,0.08846506063422982
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,common_velocity_reference_peak,0.09996681972294984,0.10086520320301333
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,common_velocity_reference_mean,0.09990768878787784,0.09952318806612366
